12 70 -38.3 1579.1
13 70 -38.1 1579.1
15 70 -36.5 1579.1
19 70 -35.1 1579.0
20 70 -35.1 1577.8
20 70 -35.1 1578.1
26 70 -34.2 1578.0
30 70 -32.6 1578.0
13 60 -40.9 1578.8
14 60 -39.8 1578.9
19 60 -37.0 1578.8
21 60 -36.1 1577.8
24 60 -35.4 1577.9
40 60 -35.4 1577.9
15 50 -45.7 1578.6
20 50 -40.4 1578.6
21 50 -37.4 1577.7
25 50 -36.0 1577.8
30 50 -34.1 1577.8
40 50 -31.2 1577.8
50 50 -29.5 1577.7
22 40 -40.3 1577.5
24 40 -39.5 1577.6
31 40 -36.1 1577.6
48 40 -30.9 1577.6
55 40 -29.7 1577.6
56 40 -29.5 1577.6
57 40 -29.9 1575.7
57 40 -29.9 1577.2
60 40 -29.5 1575.7
60 40 -29.5 1577.2
27 30 -46.2 1577.4
32 30 -41.0 1577.4
37 30 -38.2 1577.3
41 30 -36.2 1577.3
46 30 -33.9 1577.3
47 30 -34.1 1575.4
49 30 -34.3 1575.5
52 30 -35.1 1575.6
54 30 -35.5 1575.6
56 30 -36.0 1575.5
59 30 -36.2 1575.5
60 30 -35.6 1575.5
60 30 -35.6 1577.1
61 30 -34.5 1575.5
61 30 -34.5 1577.1
64 30 -33.5 1575.6
64 30 -33.5 1577.2
68 30 -31.7 1575.7
68 30 -31.7 1577.4
70 30 -31.1 1575.7
70 30 -31.1 1577.4
52 20 -44.5 1575.2
53 20 -42.6 1575.2
54 20 -38.5 1576.9
55 20 -36.6 1577.0
56 20 -35.2 1577.1
58 20 -33.9 1577.2
64 20 -31.8 1577.3
67 20 -31.0 1577.4
70 20 -30.0 1577.5
74 20 -29.8 1577.6
78 20 -29.4 1577.7
85 20 -28.7 1577.8
