1 1967 1 1 0 0 105 8.075 10.8 2645 703
2 1967 2 0 1 0 119 7.819 9.16 2540 722
3 1967 3 0 0 1 119 7.366 9.38 2565 738
4 1967 4 0 0 0 109 8.113 10.39 2776 747
5 1968 1 1 0 0 117 7.38 9.44 2725 755
6 1968 2 0 1 0 135 7.134 8.69 2623 780
7 1968 3 0 0 1 126 7.222 9.6 2722 806
8 1968 4 0 0 0 112 7.768 11.28 3004 807
9 1969 1 1 0 0 116 7.386 11.2 2952 805
10 1969 2 0 1 0 122 6.965 9.94 2968 801
11 1969 3 0 0 1 115 6.478 11.21 2961 821
12 1969 4 0 0 0 115 8.105 11.69 3243 809
13 1970 1 1 0 0 122 8.06 9.67 3027 797
14 1970 2 0 1 0 138 7.684 7.87 2902 831
15 1970 3 0 0 1 135 7.58 8.15 3057 867
16 1970 4 0 0 0 125 7.093 8.83 3331 862
17 1971 1 1 0 0 115 6.129 10.51 3266 871
18 1971 2 0 1 0 108 6.026 9.03 3290 864
19 1971 3 0 0 1 100 6.679 9.93 3223 854
20 1971 4 0 0 0 96 7.414 10.27 3501 846
21 1972 1 1 0 0 107 7.112 9.56 3402 854
22 1972 2 0 1 0 115 7.762 8.74 3278 851
23 1972 3 0 0 1 123 7.645 10.32 3258 876
24 1972 4 0 0 0 122 8.639 10.31 3400 876
25 1973 1 1 0 0 128 7.667 9.97 3303 888
26 1973 2 0 1 0 136 8.08 8.99 3228 903
27 1973 3 0 0 1 140 6.678 12.22 3269 922
28 1973 4 0 0 0 122 6.739 12.9 3396 902
29 1974 1 1 0 0 102 5.569 14 3396 820
30 1974 2 0 1 0 103 5.049 12.77 3386 819
31 1974 3 0 0 1 89 5.642 12.61 3385 797
32 1974 4 0 0 0 77 6.808 12.16 3262 751
33 1975 1 1 0 0 89 6.636 11.16 3113 743
34 1975 2 0 1 0 94 8.241 8.9 2851 744
35 1975 3 0 0 1 104 7.968 10.24 2752 747
36 1975 4 0 0 0 108 8.044 10.29 2919 764
37 1976 1 1 0 0 119 7.791 10.03 2842 759
38 1976 2 0 1 0 126 7.024 9.05 2834 807
39 1976 3 0 0 1 119 6.102 12 2957 798
40 1976 4 0 0 0 103 6.053 12.7 3305 811
41 1977 1 1 0 0 96 5.941 12.95 3256 752
42 1977 2 0 1 0 95 5.386 11.69 3151 761
43 1977 3 0 0 1 80 5.811 12.65 3141 719
44 1977 4 0 0 0 88 6.716 12.21 3266 741
45 1978 1 1 0 0 93 6.923 10.68 3061 745
46 1978 2 0 1 0 105 6.939 10.47 3018 764
47 1978 3 0 0 1 107 6.705 11.05 3085 764
48 1978 4 0 0 0 100 6.914 10.31 3242 786
